name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
STANISLAVS	boys	latvia	50	76	88	90	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRONISLAVS	boys	latvia	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BROŅISLAVS	boys	latvia	27	42	37	52	69	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAINIS	boys	latvia	0	0	0	95	63	42	31	23	21	23	26	29	33	41	64	72	0	0	0	0	0
DAŅILA	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0
DĀNIELS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	74	0	0	0
DIDZIS	boys	latvia	0	0	0	0	0	0	0	0	0	84	74	89	86	82	89	0	0	0	0	0	0
DONATS	boys	latvia	55	81	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DONĀTS	boys	latvia	70	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DZINTARS	boys	latvia	0	0	95	99	67	60	70	46	43	38	22	30	61	89	0	0	0	0	0	0	0
EDIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	84	78	81	72	47	55	98	0	0	0
EDMUNDS	boys	latvia	97	62	58	59	62	74	83	82	66	64	61	70	84	96	0	0	0	0	0	0	0
EDVĪNS	boys	latvia	0	79	49	36	39	56	71	54	50	69	84	0	0	0	0	0	0	0	0	0	0
EGILS	boys	latvia	0	0	0	0	0	89	79	72	65	65	76	0	0	0	0	0	0	0	0	0	0
EGONS	boys	latvia	0	86	53	60	97	77	82	79	88	0	0	0	0	0	0	0	0	0	0	0	0
EINĀRS	boys	latvia	0	0	0	0	0	0	0	0	95	71	0	0	0	0	0	0	0	0	0	0	0
ELMĀRS	boys	latvia	33	25	24	33	40	45	62	73	81	94	0	0	0	0	0	0	0	0	0	0	0
ELVIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	64	0	0	0	0	0
ELVIS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	44	0	0	0	0
ENDIJS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0
ILGONIS	boys	latvia	0	0	0	93	87	0	84	75	75	88	0	0	0	0	0	0	0	0	0	0	0
ILGVARS	boys	latvia	0	0	77	71	0	0	98	81	72	73	97	0	0	0	0	0	0	0	0	0	0
ILMĀRS	boys	latvia	90	36	28	28	27	40	41	39	34	40	53	75	83	98	0	0	0	0	0	0	0
IMANTS	boys	latvia	45	16	4	4	6	10	14	17	28	39	65	78	88	87	0	0	0	0	0	0	0
INDULIS	boys	latvia	0	0	98	0	99	93	85	87	87	0	0	0	0	0	0	0	0	0	0	0	0
INGUS	boys	latvia	0	0	0	0	0	0	0	0	0	0	96	86	46	59	68	93	0	0	0	0	0
INTARS	boys	latvia	0	0	0	0	0	0	0	0	0	0	0	77	74	90	0	0	0	0	0	0	0
INTS	boys	latvia	0	0	0	0	0	0	0	0	0	96	93	0	0	0	0	0	0	0	0	0	0
IVARS	boys	latvia	0	0	64	15	10	16	19	14	12	15	17	23	23	29	51	63	0	0	0	0	0
