name	gender	region	1920	1925	1930	1935	1940	1945	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015	2020
MILDA	girls	latvia	3	12	35	66	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRIĀNA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0
AELITA	girls	latvia	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0
AGAFIJA	girls	latvia	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGITA	girls	latvia	0	0	0	0	0	0	0	0	97	54	57	67	76	83	83	93	0	0	0	0	0
AGRITA	girls	latvia	0	0	0	0	0	0	0	0	95	87	98	0	0	0	0	0	0	0	0	0	0
AIGA	girls	latvia	0	0	0	0	0	0	0	0	0	0	55	51	69	64	79	92	0	0	0	0	0
AIJA	girls	latvia	0	0	72	39	24	27	29	24	9	18	24	31	34	34	51	78	0	0	0	0	0
AINA	girls	latvia	28	5	5	5	4	7	23	31	48	69	0	0	0	0	0	0	0	0	0	0	0
AIVA	girls	latvia	0	0	0	0	0	0	0	0	0	0	75	91	0	0	0	0	0	0	0	0	0
ALDA	girls	latvia	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEKSA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	93	97	0
ALINA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	94	0	89	0	0	0
ALĪDA	girls	latvia	68	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BENITA	girls	latvia	0	0	0	84	86	90	85	80	0	0	0	0	0	0	0	0	0	0	0	0	0
BERTA	girls	latvia	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRUTA	girls	latvia	57	34	11	8	7	11	22	34	49	78	0	0	0	0	0	0	0	0	0	0	0
BRIGITA	girls	latvia	0	0	76	42	40	43	58	62	80	0	0	0	0	0	0	0	0	0	0	0	0
BRONISLAVA	girls	latvia	89	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BROŅISLAVA	girls	latvia	23	25	27	46	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DACE	girls	latvia	0	0	0	0	94	61	56	40	17	10	5	9	11	23	32	60	0	0	0	0	0
DAIGA	girls	latvia	0	0	0	0	0	0	0	0	38	11	17	38	56	60	87	0	0	0	0	0	0
DAINA	girls	latvia	0	0	65	48	33	28	21	22	28	47	59	59	79	86	0	0	0	0	0	0	0
DANA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	57	49	61	43	47	67	86	0	0
DIANA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0
DIĀNA	girls	latvia	0	0	0	0	0	0	0	0	78	45	25	24	22	18	14	6	5	18	41	55	0
DINA	girls	latvia	0	0	0	0	0	0	0	0	0	66	73	80	78	82	0	0	0	0	0	0	0
DITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	95	0	0	0	0	0
DZIDRA	girls	latvia	61	7	6	7	15	22	53	64	0	0	0	0	0	0	0	0	0	0	0	0	0
DZINTRA	girls	latvia	0	0	0	54	34	1	5	9	25	52	82	0	0	0	0	0	0	0	0	0	0
EDĪTE	girls	latvia	0	0	93	72	53	62	74	68	89	80	80	71	83	0	0	0	0	0	0	0	0
EGIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
EGITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	100	95	0	0	0	0	0	0	0	0	0
ELGA	girls	latvia	0	81	57	70	65	72	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0
ELITA	girls	latvia	0	0	0	0	0	0	0	72	43	27	38	97	0	0	0	0	0	0	0	0	0
ELLA	girls	latvia	85	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELVĪRA	girls	latvia	35	41	53	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERNA	girls	latvia	24	35	59	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVIJA	girls	latvia	0	0	0	0	0	0	0	0	0	0	53	29	33	42	33	48	68	82	96	0	0
EVITA	girls	latvia	0	0	0	0	0	0	0	0	0	0	93	23	28	32	41	41	54	85	0	0	0
ĒRIKA	girls	latvia	51	48	55	57	57	60	72	83	99	0	0	0	0	0	0	0	48	75	0	0	0
FEODOSIJA	girls	latvia	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRANCISKA	girls	latvia	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAIDA	girls	latvia	45	43	33	45	49	71	76	94	0	0	0	0	0	0	0	0	0	0	0	0	0
GAĻINA	girls	latvia	0	0	0	0	0	40	14	13	26	40	64	83	90	0	0	0	0	0	0	0	0
GENOVEFA	girls	latvia	30	36	29	37	60	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
